GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
caixa-pcd-game-training,br.gov.caixa.treinamento.dto,CadastroUsuarioDTO,0,3,0,0,0,1,0,1,0,1
caixa-pcd-game-training,br.gov.caixa.treinamento.dto,RespostaDTO,0,9,0,0,0,2,0,2,0,2
caixa-pcd-game-training,br.gov.caixa.treinamento.dto,TrilhaTreinamentoDTO,0,85,0,4,0,28,0,12,0,10
caixa-pcd-game-training,br.gov.caixa.treinamento.dto,EtapaTreinamentoDTO,0,21,0,0,0,8,0,1,0,1
caixa-pcd-game-training,br.gov.caixa.treinamento.dto,LoginDTO,0,3,0,0,0,1,0,1,0,1
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,UsuarioRepository,0,30,0,0,0,4,0,4,0,4
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,AtividadeUsuarioRepository,0,23,0,0,0,3,0,3,0,3
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,BadgeUsuarioRepository,0,43,0,2,0,4,0,5,0,4
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,DesafioAssistivoRepository,24,0,0,0,3,0,3,0,3,0
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,ResultadoDesafioUsuarioRepository,58,0,2,0,5,0,6,0,5,0
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,TrilhaAssistenteGuiadoRepository,20,0,0,0,3,0,3,0,3,0
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,ProgressoTreinamentoUsuarioRepository,0,42,0,0,0,4,0,4,0,4
caixa-pcd-game-training,br.gov.caixa.treinamento.repository,PainelResumoUsuarioRepository,14,0,0,0,2,0,2,0,2,0
caixa-pcd-game-training,br.gov.caixa.treinamento.logging,LogSanitizer,83,0,12,0,19,0,9,0,3,0
caixa-pcd-game-training,br.gov.caixa.treinamento.logging,AuditLogService,96,0,4,0,32,0,12,0,10,0
caixa-pcd-game-training,br.gov.caixa.treinamento.logging,RequestLoggingFilter,146,0,12,0,33,0,12,0,6,0
caixa-pcd-game-training,br.gov.caixa.treinamento.service,DesafioService,225,68,20,6,46,10,17,6,7,3
caixa-pcd-game-training,br.gov.caixa.treinamento.service,DashboardService,38,940,12,59,13,183,11,49,0,21
caixa-pcd-game-training,br.gov.caixa.treinamento.service,TreinamentoService,86,362,12,10,19,68,11,14,4,10
caixa-pcd-game-training,br.gov.caixa.treinamento.service,GamificacaoService,27,422,9,27,9,100,9,25,0,16
caixa-pcd-game-training,br.gov.caixa.treinamento.service,AuthService,95,421,29,71,21,102,27,41,1,17
caixa-pcd-game-training,br.gov.caixa.treinamento.service,AtualizacaoService,29,0,0,0,3,0,2,0,2,0
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,AtualizacaoResource,0,8,0,0,0,2,0,2,0,2
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,TreinamentoResource,16,150,5,11,4,33,5,7,0,4
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,AuthResource,24,283,12,14,6,63,10,13,0,10
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,DashboardResource,0,41,1,3,0,10,1,3,0,2
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,HomeResource,0,40,1,3,0,9,1,4,0,3
caixa-pcd-game-training,br.gov.caixa.treinamento.controller,DesafioResource,88,209,10,16,16,43,12,11,4,6
